Age,Attrition,BusinessTravel,Department,EmployeeNumber,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction
41,Yes,Travel_Frequently,Sales,7968,Female,123,1,1,Healthcare Representative,1
44,Yes,Non-Travel,Sales,7969,Female,63,2,3,Research Director,3
23,Yes,Non-Travel,Research & Development,7970,Female,165,1,3,Manager,1
45,Yes,Non-Travel,Sales,7971,Male,49,1,4,Human Resources,4
50,Yes,Non-Travel,Research & Development,7972,Female,167,1,4,Developer,3
53,Yes,Travel_Rarely,Hardware,7973,Male,127,4,5,Developer,4
42,No,Non-Travel,Research & Development,7974,Male,128,4,1,Human Resources,4
58,Yes,Travel_Rarely,Research & Development,7975,Female,173,4,1,Research Director,2
35,No,Travel_Rarely,Hardware,7976,Male,195,1,2,Manager,2
22,Yes,Travel_Rarely,Human Resources,7977,Female,176,4,1,Sales Representative,1
42,Yes,Travel_Rarely,Human Resources,7978,Male,119,3,3,Manufacturing Director,4
41,Yes,Travel_Frequently,Sales,7979,Male,54,2,5,Sales Representative,4
35,No,Travel_Rarely,Human Resources,7980,Female,160,3,1,Laboratory Technician,3
57,Yes,Travel_Rarely,Support,7981,Male,153,3,5,Human Resources,3
19,Yes,Non-Travel,Support,7982,Male,85,4,3,Manager,1
46,Yes,Non-Travel,Software,7983,Male,75,4,3,Research Director,3
33,Yes,Non-Travel,Sales,7984,Male,117,4,2,Healthcare Representative,1
34,No,Travel_Frequently,Human Resources,7985,Female,188,4,2,Developer,4
30,No,Non-Travel,Support,7986,Male,48,4,3,Laboratory Technician,1
42,No,Non-Travel,Software,7987,Male,130,4,4,Laboratory Technician,3
42,No,Travel_Rarely,Software,7988,Male,133,2,4,Research Scientist,2
47,No,Non-Travel,Human Resources,7989,Female,113,4,2,Manager,4
42,No,Travel_Rarely,Software,7990,Male,36,2,2,Sales Representative,1
40,Yes,Non-Travel,Research & Development,7991,Male,106,4,1,Healthcare Representative,4
38,Yes,Travel_Frequently,Hardware,7992,Female,71,4,3,Research Director,1
46,No,Travel_Rarely,Research & Development,7993,Male,53,2,1,Research Scientist,3
28,No,Travel_Frequently,Support,7994,Male,57,3,5,Healthcare Representative,1
22,Yes,Non-Travel,Hardware,7995,Male,60,4,4,Laboratory Technician,3
28,Yes,Travel_Frequently,Software,7996,Male,103,2,1,Research Scientist,4
36,No,Travel_Frequently,Sales,7997,Male,191,4,3,Research Director,3
51,Yes,Non-Travel,Hardware,7998,Female,123,1,1,Manufacturing Director,3
36,Yes,Travel_Rarely,Research & Development,7999,Female,96,2,5,Healthcare Representative,4
44,Yes,Travel_Frequently,Hardware,8000,Female,62,4,1,Healthcare Representative,3
43,No,Travel_Frequently,Sales,8001,Female,75,1,2,Human Resources,1
41,No,Travel_Frequently,Human Resources,8002,Male,134,3,1,Laboratory Technician,1
57,Yes,Non-Travel,Research & Development,8003,Male,122,1,3,Manufacturing Director,3
20,No,Non-Travel,Human Resources,8004,Female,40,1,4,Human Resources,4
39,No,Travel_Frequently,Research & Development,8005,Male,186,3,5,Manager,1
26,No,Travel_Rarely,Support,8006,Male,159,4,5,Manager,2
29,No,Travel_Frequently,Support,8007,Male,153,1,3,Sales Executive,2
19,No,Travel_Rarely,Hardware,8008,Male,171,3,3,Research Scientist,4
49,No,Travel_Rarely,Support,8009,Female,130,1,2,Manufacturing Director,4
20,No,Travel_Frequently,Sales,8010,Female,66,1,5,Healthcare Representative,4
39,Yes,Travel_Frequently,Sales,8011,Male,148,4,3,Healthcare Representative,1
48,Yes,Travel_Frequently,Human Resources,8012,Male,117,2,5,Healthcare Representative,3
59,No,Travel_Frequently,Sales,8013,Female,116,3,3,Research Director,3
55,Yes,Non-Travel,Software,8014,Male,57,4,2,Manager,2
39,No,Travel_Rarely,Hardware,8015,Female,66,4,1,Human Resources,3
50,No,Travel_Rarely,Sales,8016,Male,130,1,3,Sales Representative,1
60,No,Travel_Rarely,Hardware,8017,Female,96,2,5,Human Resources,3
52,No,Travel_Frequently,Research & Development,8018,Male,41,2,2,Laboratory Technician,3
44,Yes,Travel_Rarely,Hardware,8019,Female,123,1,4,Sales Representative,1
38,Yes,Non-Travel,Software,8020,Male,114,1,4,Developer,1
18,Yes,Travel_Rarely,Hardware,8021,Male,129,3,2,Healthcare Representative,4
49,Yes,Travel_Rarely,Software,8022,Female,84,3,2,Manager,1
42,Yes,Non-Travel,Support,8023,Female,79,2,2,Laboratory Technician,2
24,No,Travel_Rarely,Support,8024,Male,88,1,5,Human Resources,1
25,Yes,Travel_Frequently,Sales,8025,Female,113,4,2,Manufacturing Director,2
42,Yes,Non-Travel,Sales,8026,Female,43,1,3,Manufacturing Director,3
49,No,Non-Travel,Software,8027,Male,97,2,4,Manufacturing Director,2
46,Yes,Travel_Rarely,Human Resources,8028,Male,188,3,4,Developer,1
36,Yes,Travel_Frequently,Support,8029,Female,75,2,1,Sales Representative,3
25,No,Travel_Rarely,Research & Development,8030,Male,95,2,1,Research Scientist,4
36,Yes,Travel_Frequently,Sales,8031,Male,115,1,1,Manager,1
35,Yes,Travel_Rarely,Research & Development,8032,Female,190,4,3,Manager,2
39,Yes,Non-Travel,Sales,8033,Male,151,3,5,Research Director,3
29,Yes,Travel_Frequently,Human Resources,8034,Female,116,4,4,Sales Representative,4
47,Yes,Non-Travel,Human Resources,8035,Male,104,4,2,Developer,1
28,Yes,Travel_Frequently,Research & Development,8036,Male,106,4,3,Research Scientist,2
27,Yes,Travel_Frequently,Human Resources,8037,Male,108,1,1,Sales Representative,2
44,No,Non-Travel,Sales,8038,Male,127,1,5,Developer,4
22,Yes,Non-Travel,Hardware,8039,Female,37,2,2,Sales Executive,2
20,Yes,Travel_Rarely,Software,8040,Female,142,3,4,Manufacturing Director,2
20,No,Travel_Rarely,Support,8041,Female,97,2,5,Healthcare Representative,2
43,Yes,Non-Travel,Hardware,8042,Male,100,2,3,Sales Representative,2
18,Yes,Travel_Frequently,Research & Development,8043,Male,69,3,4,Laboratory Technician,1
26,No,Non-Travel,Support,8044,Female,179,3,3,Research Director,3
59,Yes,Travel_Frequently,Software,8045,Male,85,4,5,Manager,2
54,No,Non-Travel,Software,8046,Male,146,3,4,Research Director,3
19,Yes,Travel_Frequently,Software,8047,Female,74,1,1,Research Scientist,2
37,No,Travel_Frequently,Research & Development,8048,Male,157,2,5,Healthcare Representative,3
32,No,Non-Travel,Human Resources,8049,Female,183,1,2,Manufacturing Director,1
33,Yes,Travel_Rarely,Support,8050,Female,65,3,3,Sales Executive,3
41,No,Non-Travel,Hardware,8051,Male,76,3,1,Research Scientist,2
22,Yes,Non-Travel,Sales,8052,Female,156,4,3,Research Director,1
35,Yes,Travel_Frequently,Sales,8053,Female,164,1,4,Human Resources,2
45,Yes,Travel_Frequently,Software,8054,Male,131,1,4,Manufacturing Director,2
50,No,Travel_Frequently,Sales,8055,Female,50,1,5,Developer,1
30,Yes,Travel_Frequently,Support,8056,Male,182,3,1,Manager,2
48,No,Travel_Rarely,Software,8057,Male,46,4,1,Manufacturing Director,4
25,No,Non-Travel,Sales,8058,Male,49,2,5,Developer,2
54,No,Non-Travel,Hardware,8059,Female,98,1,1,Developer,4
45,No,Non-Travel,Human Resources,8060,Female,163,4,1,Developer,1
57,No,Travel_Frequently,Hardware,8061,Female,37,4,2,Developer,3
27,No,Non-Travel,Human Resources,8062,Female,161,2,4,Developer,2
31,No,Travel_Rarely,Sales,8063,Male,158,4,2,Sales Representative,1
21,No,Non-Travel,Human Resources,8064,Female,158,3,1,Healthcare Representative,2
58,Yes,Travel_Frequently,Sales,8065,Female,179,3,3,Developer,2
50,No,Non-Travel,Sales,8066,Female,148,3,3,Sales Executive,3
51,Yes,Non-Travel,Sales,8067,Female,95,3,5,Sales Representative,2
19,Yes,Non-Travel,Research & Development,8068,Female,103,1,1,Research Scientist,1
20,No,Travel_Rarely,Software,8069,Female,37,4,2,Laboratory Technician,1
51,No,Travel_Frequently,Research & Development,8070,Female,155,3,3,Manager,3
49,Yes,Non-Travel,Sales,8071,Female,185,1,3,Manufacturing Director,1
46,No,Travel_Rarely,Hardware,8072,Male,102,4,1,Research Scientist,3
47,Yes,Travel_Rarely,Support,8073,Male,138,2,4,Research Director,2
44,Yes,Travel_Rarely,Support,8074,Male,86,4,1,Research Scientist,3
58,No,Non-Travel,Support,8075,Female,90,1,3,Research Scientist,2
43,No,Non-Travel,Sales,8076,Female,86,3,3,Manufacturing Director,4
59,Yes,Travel_Frequently,Research & Development,8077,Male,33,3,4,Manufacturing Director,1
57,Yes,Travel_Rarely,Human Resources,8078,Male,134,3,3,Research Director,3
43,Yes,Travel_Frequently,Software,8079,Male,113,4,2,Research Scientist,1
47,Yes,Non-Travel,Human Resources,8080,Male,193,3,2,Sales Representative,2
60,Yes,Non-Travel,Support,8081,Male,166,4,4,Sales Executive,1
36,No,Non-Travel,Software,8082,Female,157,4,4,Research Director,2
27,Yes,Non-Travel,Research & Development,8083,Female,89,1,1,Developer,2
26,No,Travel_Rarely,Sales,8084,Male,170,2,2,Developer,2
59,No,Non-Travel,Human Resources,8085,Female,194,1,3,Sales Executive,1
29,Yes,Travel_Rarely,Human Resources,8086,Female,129,4,5,Research Director,2
37,No,Travel_Frequently,Hardware,8087,Male,36,1,5,Sales Executive,3
24,No,Non-Travel,Hardware,8088,Female,177,4,2,Sales Representative,4
53,No,Non-Travel,Sales,8089,Female,81,2,5,Developer,4
40,No,Travel_Frequently,Sales,8090,Male,111,1,4,Healthcare Representative,4
29,Yes,Travel_Rarely,Hardware,8091,Female,164,3,4,Sales Executive,4
55,No,Non-Travel,Human Resources,8092,Male,107,1,2,Manager,3
60,No,Non-Travel,Human Resources,8093,Female,49,3,5,Human Resources,3
54,Yes,Travel_Frequently,Human Resources,8094,Female,101,4,1,Manufacturing Director,2
35,Yes,Travel_Rarely,Support,8095,Female,70,4,5,Research Scientist,1
56,Yes,Non-Travel,Sales,8096,Male,133,3,3,Laboratory Technician,2
38,No,Travel_Frequently,Human Resources,8097,Male,46,2,1,Laboratory Technician,1
39,No,Non-Travel,Hardware,8098,Male,96,1,3,Manufacturing Director,3
18,Yes,Travel_Rarely,Hardware,8099,Male,198,3,5,Sales Representative,2
23,No,Travel_Frequently,Human Resources,8100,Male,110,2,5,Research Scientist,4
23,No,Travel_Frequently,Support,8101,Female,117,4,5,Research Director,2
45,No,Travel_Frequently,Hardware,8102,Male,195,1,2,Research Scientist,2
42,No,Travel_Rarely,Hardware,8103,Male,99,2,5,Laboratory Technician,1
20,Yes,Non-Travel,Software,8104,Female,45,4,5,Manufacturing Director,1
26,Yes,Travel_Frequently,Hardware,8105,Male,140,3,5,Sales Executive,1
46,No,Non-Travel,Sales,8106,Female,62,3,3,Sales Executive,1
21,Yes,Travel_Rarely,Research & Development,8107,Male,141,1,2,Sales Executive,4
43,Yes,Non-Travel,Sales,8108,Female,87,2,1,Research Director,1
22,Yes,Non-Travel,Sales,8109,Female,104,3,3,Manager,2
21,No,Non-Travel,Sales,8110,Male,142,3,4,Research Scientist,3
41,No,Travel_Frequently,Software,8111,Female,30,1,2,Laboratory Technician,4
45,No,Travel_Frequently,Human Resources,8112,Female,62,1,2,Developer,4
42,No,Travel_Frequently,Sales,8113,Male,103,3,2,Sales Representative,2
37,Yes,Non-Travel,Software,8114,Male,184,3,1,Manufacturing Director,2
38,Yes,Travel_Rarely,Support,8115,Male,94,1,2,Research Director,2
38,Yes,Travel_Frequently,Sales,8116,Female,63,2,1,Human Resources,3
52,Yes,Travel_Rarely,Human Resources,8117,Female,190,4,5,Laboratory Technician,1
43,No,Travel_Rarely,Research & Development,8118,Female,199,2,4,Laboratory Technician,4
60,Yes,Travel_Rarely,Research & Development,8119,Male,53,3,1,Sales Executive,4
57,No,Travel_Rarely,Hardware,8120,Female,67,2,4,Developer,3
23,Yes,Non-Travel,Human Resources,8121,Female,107,1,5,Research Director,2
22,Yes,Travel_Frequently,Software,8122,Male,96,2,5,Research Director,1
55,No,Travel_Rarely,Sales,8123,Female,54,3,2,Sales Representative,4
21,Yes,Non-Travel,Human Resources,8124,Female,100,3,3,Research Scientist,3
48,Yes,Non-Travel,Support,8125,Male,87,2,1,Research Director,2
19,Yes,Travel_Frequently,Software,8126,Male,38,3,5,Human Resources,4
19,Yes,Non-Travel,Hardware,8127,Female,38,2,1,Manager,3
20,No,Travel_Frequently,Software,8128,Male,108,4,3,Manager,4
49,No,Travel_Frequently,Sales,8129,Female,153,2,4,Healthcare Representative,2
59,No,Non-Travel,Hardware,8130,Female,169,3,3,Sales Representative,3
28,Yes,Non-Travel,Human Resources,8131,Female,173,1,4,Sales Representative,2
28,Yes,Non-Travel,Sales,8132,Female,38,2,5,Healthcare Representative,4
39,Yes,Non-Travel,Human Resources,8133,Male,151,1,4,Manufacturing Director,3
25,No,Non-Travel,Support,8134,Male,199,3,4,Research Scientist,3
56,Yes,Travel_Frequently,Hardware,8135,Male,137,3,3,Laboratory Technician,1
39,No,Travel_Rarely,Research & Development,8136,Male,137,1,1,Sales Representative,1
25,Yes,Non-Travel,Research & Development,8137,Female,161,3,5,Developer,2
24,Yes,Travel_Frequently,Sales,8138,Male,66,1,5,Manufacturing Director,2
32,Yes,Travel_Frequently,Support,8139,Male,152,1,4,Human Resources,3
57,No,Travel_Rarely,Human Resources,8140,Female,93,2,2,Laboratory Technician,2
37,No,Travel_Frequently,Research & Development,8141,Female,101,1,5,Research Scientist,2
30,Yes,Travel_Rarely,Human Resources,8142,Male,124,1,1,Manager,4
27,No,Travel_Frequently,Human Resources,8143,Male,182,2,3,Sales Executive,4
42,No,Travel_Rarely,Software,8144,Male,100,4,4,Laboratory Technician,2
45,No,Travel_Rarely,Sales,8145,Female,53,2,5,Sales Executive,4
58,Yes,Travel_Frequently,Support,8146,Male,184,1,3,Research Scientist,2
24,Yes,Travel_Rarely,Sales,8147,Female,191,3,4,Sales Representative,2
45,Yes,Travel_Frequently,Sales,8148,Male,88,2,3,Research Director,4
60,Yes,Travel_Rarely,Hardware,8149,Female,126,4,4,Manager,4
43,Yes,Non-Travel,Hardware,8150,Female,124,4,1,Sales Representative,2
48,No,Travel_Rarely,Sales,8151,Female,117,2,1,Healthcare Representative,2
53,Yes,Non-Travel,Hardware,8152,Female,189,4,4,Healthcare Representative,2
26,Yes,Travel_Rarely,Software,8153,Female,182,2,4,Sales Representative,2
33,Yes,Travel_Rarely,Research & Development,8154,Male,41,3,3,Sales Executive,2
38,No,Travel_Rarely,Research & Development,8155,Female,41,2,4,Research Director,3
59,No,Travel_Frequently,Software,8156,Male,53,1,2,Human Resources,4
26,Yes,Travel_Rarely,Support,8157,Male,122,1,4,Research Director,4
49,No,Non-Travel,Support,8158,Male,96,3,3,Laboratory Technician,2
43,No,Non-Travel,Support,8159,Male,79,4,3,Laboratory Technician,1
51,Yes,Non-Travel,Research & Development,8160,Male,79,2,4,Healthcare Representative,1
29,Yes,Non-Travel,Sales,8161,Male,46,2,4,Research Scientist,3
43,No,Travel_Rarely,Human Resources,8162,Male,63,3,3,Research Scientist,3
31,Yes,Travel_Frequently,Hardware,8163,Female,120,3,3,Sales Representative,3
22,Yes,Travel_Frequently,Hardware,8164,Male,137,3,2,Manager,4
30,Yes,Travel_Frequently,Software,8165,Female,112,1,5,Laboratory Technician,1
33,No,Travel_Rarely,Human Resources,8166,Male,119,3,2,Research Scientist,1
21,Yes,Non-Travel,Sales,8167,Female,144,3,4,Human Resources,2
26,No,Travel_Rarely,Human Resources,8168,Female,31,2,2,Sales Executive,2
28,Yes,Travel_Rarely,Support,8169,Male,90,2,2,Research Scientist,3
41,Yes,Travel_Frequently,Software,8170,Male,134,4,2,Research Scientist,1
39,Yes,Travel_Frequently,Support,8171,Female,55,2,5,Sales Representative,4
31,Yes,Travel_Frequently,Support,8172,Male,183,1,2,Research Scientist,2
22,No,Travel_Frequently,Sales,8173,Male,167,3,2,Manager,2
39,Yes,Travel_Rarely,Software,8174,Female,31,2,1,Healthcare Representative,3
58,Yes,Travel_Frequently,Hardware,8175,Female,72,3,2,Human Resources,4
45,Yes,Travel_Rarely,Research & Development,8176,Male,130,4,2,Manager,3
53,Yes,Travel_Rarely,Sales,8177,Female,75,1,5,Research Director,2
32,Yes,Non-Travel,Research & Development,8178,Female,194,3,5,Research Scientist,4
22,No,Travel_Rarely,Software,8179,Male,141,4,5,Sales Representative,2
35,Yes,Travel_Frequently,Human Resources,8180,Male,153,3,3,Sales Executive,2
45,Yes,Non-Travel,Research & Development,8181,Male,147,4,3,Laboratory Technician,3
26,Yes,Non-Travel,Support,8182,Female,198,4,5,Laboratory Technician,1
58,No,Travel_Frequently,Software,8183,Male,72,3,5,Sales Representative,3
22,Yes,Travel_Frequently,Human Resources,8184,Female,196,3,1,Developer,3
45,No,Travel_Rarely,Sales,8185,Male,194,4,4,Research Scientist,1
51,Yes,Travel_Frequently,Human Resources,8186,Female,155,1,3,Healthcare Representative,4
58,Yes,Travel_Rarely,Software,8187,Male,56,3,5,Laboratory Technician,3
30,Yes,Travel_Frequently,Human Resources,8188,Male,44,1,3,Laboratory Technician,4
41,Yes,Travel_Frequently,Support,8189,Male,128,4,2,Sales Executive,3
58,Yes,Non-Travel,Human Resources,8190,Male,54,2,2,Developer,1
33,No,Travel_Frequently,Software,8191,Female,36,4,1,Human Resources,3
30,Yes,Travel_Frequently,Research & Development,8192,Female,40,2,5,Manager,4
49,Yes,Travel_Frequently,Human Resources,8193,Male,126,2,1,Research Scientist,1
55,No,Travel_Frequently,Software,8194,Male,156,2,3,Human Resources,1
22,Yes,Travel_Rarely,Hardware,8195,Male,141,4,5,Research Director,4
37,No,Non-Travel,Software,8196,Female,145,3,3,Sales Representative,1
42,No,Non-Travel,Hardware,8197,Female,144,4,3,Sales Representative,3
24,No,Non-Travel,Software,8198,Male,77,2,2,Human Resources,4
38,Yes,Non-Travel,Software,8199,Female,137,1,5,Manager,4
32,No,Non-Travel,Human Resources,8200,Female,64,2,3,Laboratory Technician,1
59,Yes,Travel_Rarely,Software,8201,Male,157,1,3,Healthcare Representative,4
32,Yes,Non-Travel,Research & Development,8202,Female,133,4,3,Sales Representative,2
37,Yes,Travel_Frequently,Software,8203,Female,121,4,1,Manufacturing Director,4
38,Yes,Travel_Frequently,Sales,8204,Female,95,1,4,Human Resources,3
24,No,Non-Travel,Sales,8205,Female,106,3,4,Human Resources,4
48,Yes,Travel_Frequently,Software,8206,Male,157,4,5,Sales Representative,1
22,Yes,Non-Travel,Research & Development,8207,Male,58,2,3,Laboratory Technician,2
23,Yes,Non-Travel,Software,8208,Female,149,3,5,Healthcare Representative,4
47,No,Non-Travel,Sales,8209,Male,57,4,2,Sales Representative,4
23,No,Non-Travel,Hardware,8210,Female,80,3,2,Manufacturing Director,4
24,Yes,Travel_Frequently,Hardware,8211,Female,45,2,2,Sales Representative,2
38,No,Non-Travel,Research & Development,8212,Male,167,2,2,Sales Executive,1
53,No,Non-Travel,Human Resources,8213,Male,55,4,4,Sales Representative,3
36,Yes,Travel_Frequently,Support,8214,Female,200,2,3,Developer,2
21,No,Travel_Rarely,Sales,8215,Female,106,2,2,Research Scientist,1
58,Yes,Travel_Frequently,Hardware,8216,Male,82,4,4,Laboratory Technician,2
20,Yes,Travel_Frequently,Hardware,8217,Female,30,3,1,Research Scientist,1
53,Yes,Travel_Rarely,Human Resources,8218,Male,134,1,5,Sales Executive,4
21,No,Travel_Rarely,Hardware,8219,Male,199,4,3,Sales Executive,2
49,No,Travel_Rarely,Support,8220,Female,154,2,3,Manager,1
53,No,Travel_Rarely,Hardware,8221,Male,78,4,3,Human Resources,1
44,No,Non-Travel,Hardware,8222,Male,36,1,5,Sales Representative,1
48,Yes,Non-Travel,Support,8223,Male,98,2,4,Sales Representative,3
52,No,Travel_Rarely,Hardware,8224,Male,157,4,4,Research Director,2
46,No,Travel_Rarely,Hardware,8225,Male,110,1,4,Sales Executive,4
29,No,Travel_Frequently,Software,8226,Female,144,1,3,Human Resources,4
35,Yes,Non-Travel,Support,8227,Male,167,2,4,Developer,1
59,No,Travel_Frequently,Research & Development,8228,Male,143,1,4,Laboratory Technician,2
37,Yes,Travel_Frequently,Hardware,8229,Female,49,1,5,Research Director,1
40,Yes,Travel_Frequently,Human Resources,8230,Male,197,2,2,Human Resources,1
35,Yes,Travel_Rarely,Software,8231,Female,131,4,3,Research Director,4
25,Yes,Travel_Rarely,Hardware,8232,Male,58,2,1,Laboratory Technician,1
59,No,Non-Travel,Software,8233,Female,77,3,3,Manager,1
18,No,Travel_Rarely,Human Resources,8234,Female,100,4,3,Human Resources,4
19,No,Travel_Rarely,Software,8235,Male,111,1,4,Human Resources,1
23,Yes,Travel_Frequently,Sales,8236,Male,82,1,2,Manager,3
47,Yes,Non-Travel,Sales,8237,Male,61,2,2,Manufacturing Director,1
54,No,Travel_Rarely,Hardware,8238,Male,112,4,3,Manager,3
18,Yes,Travel_Frequently,Sales,8239,Female,157,2,2,Sales Representative,1
27,Yes,Non-Travel,Support,8240,Male,149,4,5,Sales Executive,3
53,No,Non-Travel,Sales,8241,Male,57,3,1,Manufacturing Director,4
50,No,Travel_Rarely,Sales,8242,Female,51,1,4,Developer,1
25,No,Non-Travel,Software,8243,Female,176,1,1,Sales Representative,4
44,No,Travel_Rarely,Software,8244,Female,40,3,1,Laboratory Technician,3
46,No,Travel_Rarely,Human Resources,8245,Female,165,3,2,Human Resources,2
27,Yes,Non-Travel,Software,8246,Female,83,2,2,Research Scientist,1
35,No,Travel_Frequently,Sales,8247,Female,64,1,2,Healthcare Representative,3
42,Yes,Travel_Rarely,Support,8248,Male,184,3,2,Research Scientist,3
18,No,Travel_Frequently,Human Resources,8249,Female,92,4,5,Laboratory Technician,4
59,Yes,Travel_Frequently,Sales,8250,Male,185,2,4,Human Resources,2
51,Yes,Travel_Rarely,Human Resources,8251,Female,60,2,4,Laboratory Technician,2
18,No,Travel_Rarely,Research & Development,8252,Female,122,2,3,Research Scientist,4
23,Yes,Travel_Frequently,Research & Development,8253,Female,117,2,4,Manager,2
49,Yes,Travel_Rarely,Support,8254,Female,165,3,5,Developer,3
18,Yes,Travel_Rarely,Research & Development,8255,Female,109,1,1,Laboratory Technician,2
41,Yes,Non-Travel,Support,8256,Female,82,4,5,Sales Executive,1
46,Yes,Non-Travel,Research & Development,8257,Female,56,4,5,Research Director,4
29,No,Travel_Frequently,Research & Development,8258,Male,64,2,3,Manufacturing Director,3
21,No,Travel_Frequently,Software,8259,Female,128,1,5,Developer,4
35,Yes,Travel_Frequently,Support,8260,Female,39,3,1,Manager,3
18,Yes,Travel_Frequently,Human Resources,8261,Female,144,2,5,Human Resources,4
38,Yes,Travel_Rarely,Hardware,8262,Male,88,4,4,Sales Representative,2
28,Yes,Non-Travel,Software,8263,Male,143,3,3,Developer,2
56,No,Travel_Rarely,Software,8264,Female,181,2,5,Human Resources,2
52,No,Non-Travel,Sales,8265,Female,81,1,3,Research Scientist,4
60,No,Travel_Rarely,Human Resources,8266,Male,74,4,3,Human Resources,4
20,Yes,Travel_Frequently,Human Resources,8267,Male,125,4,2,Laboratory Technician,2
60,Yes,Travel_Frequently,Research & Development,8268,Female,51,3,4,Human Resources,2
52,Yes,Travel_Frequently,Hardware,8269,Female,177,4,5,Research Scientist,2
57,No,Travel_Rarely,Support,8270,Male,190,3,5,Human Resources,1
18,Yes,Travel_Frequently,Sales,8271,Female,42,2,2,Manager,3
24,Yes,Non-Travel,Research & Development,8272,Female,126,3,1,Developer,3
55,No,Travel_Rarely,Human Resources,8273,Male,134,2,4,Sales Representative,3
48,No,Travel_Rarely,Software,8274,Female,144,1,5,Sales Executive,1
60,No,Non-Travel,Hardware,8275,Male,121,2,3,Manager,4
40,Yes,Travel_Rarely,Research & Development,8276,Female,194,2,2,Research Director,1
27,No,Travel_Frequently,Sales,8277,Male,109,3,3,Sales Executive,2
41,No,Travel_Frequently,Sales,8278,Male,141,2,5,Healthcare Representative,3
31,No,Travel_Rarely,Human Resources,8279,Female,134,4,4,Developer,3
26,Yes,Non-Travel,Research & Development,8280,Male,155,4,2,Manager,3
24,Yes,Travel_Rarely,Hardware,8281,Male,96,2,1,Laboratory Technician,1
46,Yes,Travel_Rarely,Human Resources,8282,Female,176,3,4,Sales Executive,1
55,Yes,Travel_Frequently,Research & Development,8283,Male,82,2,5,Human Resources,4
55,Yes,Travel_Frequently,Software,8284,Female,198,3,3,Healthcare Representative,4
43,Yes,Travel_Frequently,Software,8285,Female,46,1,5,Research Scientist,1
28,Yes,Non-Travel,Sales,8286,Female,51,2,3,Healthcare Representative,4
42,No,Travel_Frequently,Hardware,8287,Female,86,3,1,Sales Executive,4
49,Yes,Travel_Rarely,Support,8288,Female,153,4,3,Sales Executive,4
33,Yes,Travel_Frequently,Hardware,8289,Male,194,3,5,Research Director,3
31,Yes,Travel_Rarely,Research & Development,8290,Female,125,2,2,Manufacturing Director,4
60,Yes,Non-Travel,Hardware,8291,Female,126,3,2,Sales Executive,1
37,Yes,Non-Travel,Research & Development,8292,Male,85,4,4,Human Resources,3
33,No,Travel_Rarely,Human Resources,8293,Male,58,4,4,Sales Executive,2
57,Yes,Travel_Frequently,Sales,8294,Female,44,2,1,Human Resources,1
30,No,Travel_Rarely,Hardware,8295,Female,188,1,5,Sales Representative,2
50,Yes,Travel_Frequently,Software,8296,Male,84,2,3,Research Director,4
22,Yes,Travel_Frequently,Support,8297,Male,57,1,3,Developer,2
51,Yes,Non-Travel,Support,8298,Female,90,3,1,Human Resources,3
35,No,Travel_Frequently,Software,8299,Female,95,4,5,Healthcare Representative,2
51,No,Travel_Frequently,Human Resources,8300,Female,83,2,4,Human Resources,1
44,No,Non-Travel,Sales,8301,Male,85,1,1,Manager,1
55,Yes,Non-Travel,Research & Development,8302,Male,171,3,4,Sales Executive,1
38,No,Travel_Rarely,Sales,8303,Female,71,1,3,Healthcare Representative,3
23,Yes,Travel_Frequently,Software,8304,Male,75,1,3,Research Scientist,4
33,Yes,Travel_Rarely,Sales,8305,Female,177,3,4,Research Scientist,4
37,Yes,Travel_Frequently,Research & Development,8306,Male,55,2,1,Sales Representative,3
37,Yes,Travel_Rarely,Hardware,8307,Male,154,2,1,Healthcare Representative,1
57,No,Travel_Frequently,Support,8308,Female,195,4,5,Sales Executive,3
44,Yes,Non-Travel,Software,8309,Male,30,2,5,Sales Representative,4
33,Yes,Travel_Rarely,Research & Development,8310,Female,155,2,3,Healthcare Representative,2
22,Yes,Travel_Frequently,Sales,8311,Male,159,3,1,Research Scientist,4
21,Yes,Non-Travel,Sales,8312,Female,160,4,4,Laboratory Technician,4
18,No,Travel_Rarely,Research & Development,8313,Male,101,4,5,Human Resources,4
35,No,Travel_Frequently,Human Resources,8314,Male,143,4,5,Research Director,3
25,Yes,Travel_Rarely,Software,8315,Male,196,1,2,Sales Representative,3
19,Yes,Travel_Rarely,Hardware,8316,Female,121,4,1,Sales Representative,2
29,Yes,Non-Travel,Software,8317,Male,182,3,2,Developer,2
23,No,Travel_Rarely,Research & Development,8318,Female,159,3,1,Manager,1
50,No,Non-Travel,Software,8319,Female,43,3,4,Sales Representative,2
42,Yes,Travel_Rarely,Research & Development,8320,Female,192,2,4,Human Resources,3
31,No,Non-Travel,Support,8321,Female,69,1,2,Sales Executive,2
55,Yes,Travel_Rarely,Support,8322,Male,193,2,1,Developer,4
59,No,Non-Travel,Hardware,8323,Male,91,4,4,Developer,4
54,Yes,Non-Travel,Human Resources,8324,Male,191,1,1,Research Director,4
42,Yes,Travel_Rarely,Research & Development,8325,Male,107,2,2,Research Director,1
55,No,Travel_Frequently,Research & Development,8326,Female,189,3,5,Sales Executive,2
57,Yes,Travel_Rarely,Sales,8327,Male,112,4,2,Laboratory Technician,1
