Employee ID,MonthlyIncome,OverTime,PercentSalaryHike,TotalWorkingYears,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion
7797,38911,No,28,22,2,3,1
7811,19302,Yes,19,23,3,2,4
7816,48203,Yes,0,10,1,2,5
7822,32407,Yes,8,2,4,1,1
7829,18294,No,11,3,4,2,3
7832,48555,No,9,19,4,17,1
7838,27291,Yes,22,30,1,5,6
7844,24505,Yes,17,34,3,2,21
7846,40235,No,27,22,2,4,7
7855,29743,Yes,44,14,2,3,1
7858,29712,Yes,25,36,2,28,35
7867,13466,No,22,23,2,10,14
7871,50052,No,30,11,2,1,1
7875,10581,No,12,25,4,4,6
7879,15325,No,48,15,4,4,1
7890,35202,No,45,39,4,4,1
7891,14719,Yes,16,31,3,10,10
7896,14616,No,6,15,4,3,1
7900,12820,No,45,20,3,6,14
7908,47399,Yes,5,34,1,10,9
7911,15770,No,15,26,3,1,17
7912,35381,Yes,30,29,2,3,3
7914,10672,Yes,24,25,1,15,12
7915,25507,Yes,47,29,2,1,5
7922,37236,Yes,36,31,2,4,1
7923,41242,Yes,39,35,4,18,16
7925,15892,No,25,21,1,16,1
7927,12347,No,47,9,2,1,1
7929,50987,Yes,10,28,3,9,5
7931,35500,Yes,31,15,1,3,2
7938,23970,No,19,4,1,1,2
7944,10331,No,24,11,2,1,1
7947,11439,No,19,36,2,20,5
7950,6945,Yes,25,9,2,2,6
7953,31103,Yes,27,4,2,2,1
7956,25607,Yes,8,24,4,10,17
7957,17200,No,33,37,4,7,3
7962,22092,Yes,38,14,2,1,2
7965,50402,No,0,40,4,14,3
7966,28905,No,32,29,3,19,3
7970,39768,Yes,0,37,3,20,17
7978,18507,Yes,36,14,3,7,6
7983,16225,Yes,23,18,3,15,17
7986,24692,No,23,11,1,4,3
7991,7815,No,41,23,3,12,8
7993,45877,Yes,14,18,1,2,1
7996,3798,Yes,27,20,3,9,17
8004,31075,Yes,33,3,2,1,1
8007,19715,Yes,27,12,2,2,6
8013,2659,Yes,24,37,2,6,1
8016,24591,No,39,36,4,22,16
8019,21471,Yes,11,27,1,4,2
8029,14289,Yes,5,1,4,1,1
8030,21093,No,39,34,1,14,19
8035,4372,No,7,23,1,2,2
8045,3169,Yes,6,12,1,1,4
8047,44110,No,18,16,1,4,3
8048,42098,No,43,10,3,2,9
8051,39058,Yes,10,10,3,1,1
8064,18781,Yes,16,1,3,1,1
8065,50570,Yes,23,38,1,1,15
8073,14242,Yes,6,9,4,3,4
8074,30718,Yes,16,21,3,12,1
8076,45069,Yes,24,21,3,7,7
8081,41281,Yes,37,8,3,1,1
8083,47381,Yes,9,2,4,1,1
8085,41300,Yes,46,35,2,17,13
8087,8581,No,21,39,4,6,9
8089,14574,No,31,6,2,3,1
8091,13798,Yes,9,29,4,18,15
8093,14163,Yes,26,8,1,5,8
8095,19535,Yes,36,8,4,2,2
8096,46096,Yes,39,17,3,1,2
8100,46453,No,29,7,1,2,5
8102,10968,Yes,16,20,3,12,13
8105,4119,Yes,45,39,3,5,11
8111,45090,Yes,34,40,1,1,6
8116,11028,Yes,36,28,1,1,1
8122,34978,No,25,31,2,21,4
8123,32365,Yes,0,14,2,11,1
8125,33064,Yes,22,28,1,12,18
8140,42725,Yes,43,32,3,10,11
8146,23500,Yes,7,37,4,1,3
8147,4980,Yes,24,29,1,1,5
8148,23940,Yes,24,16,4,3,6
8149,50299,No,31,16,2,5,1
8152,44584,No,17,4,2,3,1
8162,37791,No,46,14,1,3,2
8163,49820,No,37,7,2,7,5
8164,31261,Yes,32,22,4,1,10
8173,40490,No,40,40,3,8,1
8174,30656,No,35,15,1,1,5
8176,26210,No,48,5,1,3,3
8183,10921,Yes,28,39,1,12,3
8184,13692,No,13,7,4,1,1
8186,40091,Yes,16,12,2,2,3
8195,39191,Yes,25,7,4,1,3
8197,25537,Yes,23,7,4,1,1
8198,14379,No,14,8,4,2,1
8199,11236,Yes,25,23,1,14,2
8206,24578,No,13,12,4,1,4
8210,17279,No,5,7,1,3,1
8212,23091,Yes,39,36,1,3,8
8213,40597,No,0,38,4,5,3
8217,15585,Yes,49,12,3,4,2
8219,33257,Yes,33,4,2,4,3
8222,13187,No,19,27,1,15,3
8223,50328,No,4,34,4,15,5
8229,3706,Yes,32,14,4,1,1
8230,27487,No,33,11,1,4,4
8233,2420,Yes,43,21,2,1,2
8236,27020,Yes,9,32,4,8,14
8238,16802,No,3,23,1,1,9
8242,23830,Yes,12,25,2,4,1
8244,31206,No,38,4,4,2,3
8246,43219,No,5,17,2,1,3
8250,23574,No,6,17,4,1,2
8252,44276,Yes,40,14,4,9,5
8257,17925,Yes,7,40,2,32,6
8263,24393,No,3,39,1,4,1
8267,12345,No,14,6,4,2,1
8268,42285,Yes,25,31,3,11,11
8273,45588,Yes,15,37,2,2,2
8274,34740,Yes,22,37,4,33,10
8276,9596,No,29,37,2,5,4
8279,28898,Yes,2,36,1,2,9
8283,10052,No,28,24,2,1,1
8284,50538,No,1,40,4,2,2
8285,4703,No,1,40,4,35,9
8290,22590,Yes,20,33,3,24,23
8295,26936,Yes,40,31,1,7,15
8298,42595,No,23,7,1,6,5
8299,14719,No,18,39,1,3,1
8303,11605,Yes,32,39,4,10,9
8306,23444,No,33,22,4,1,3
8308,44200,No,24,2,1,1,1
8314,22925,Yes,31,36,2,17,17
8315,37872,Yes,19,16,3,5,2
8320,32367,Yes,0,4,2,1,1
8328,49447,No,19,8,3,1,3
8329,3130,No,27,38,2,6,6
8331,3532,No,24,8,2,1,1
8333,18081,No,26,7,2,1,1
8336,33358,No,5,39,3,38,17
8338,13382,No,44,38,1,2,1
8340,20955,No,33,9,4,8,3
8343,28737,Yes,1,29,2,18,14
8345,26167,Yes,42,10,1,9,10
8348,13343,Yes,47,4,1,2,4
8354,33325,Yes,42,39,3,3,1
8357,33691,No,22,15,4,3,7
8360,37787,No,48,37,3,14,11
8368,47764,Yes,7,19,3,9,4
8372,25798,No,17,6,4,2,1
8373,5617,No,31,6,2,1,1
8376,23472,Yes,44,23,3,1,13
8377,21714,No,15,1,2,1,1
8384,38913,No,2,16,2,2,12
8386,19057,No,37,22,2,1,1
8388,35920,Yes,27,36,2,9,4
8389,43952,Yes,31,27,4,11,20
8390,12497,Yes,6,21,4,2,2
8392,34490,No,4,36,2,11,12
8397,13499,Yes,35,27,1,2,2
8416,27189,Yes,13,9,1,3,3
8426,5190,No,48,39,4,37,13
8434,24967,No,11,20,3,2,2
8445,1257,Yes,48,23,4,5,8
8455,36812,Yes,44,22,2,1,4
8462,33616,Yes,4,29,2,12,11
8467,30819,No,13,26,1,9,8
8474,27449,No,40,4,3,2,1
8477,19120,Yes,10,36,4,9,1
8482,28963,Yes,43,35,4,6,2
8484,31230,No,47,25,3,24,20
8485,26371,No,40,11,4,8,5
8489,40234,No,28,11,2,1,2
8497,42996,No,5,7,2,4,1
8502,25524,Yes,31,35,2,14,5
8506,41194,No,42,36,2,11,5
8507,14521,No,0,31,3,3,1
8508,7410,No,38,7,4,4,3
8510,41093,Yes,33,13,3,1,2
8530,41398,Yes,21,40,4,5,1
8531,16056,Yes,16,33,4,1,4
8534,26419,No,36,14,4,7,7
8535,32452,Yes,37,8,2,2,2
8542,1768,No,43,29,4,15,12
8544,2195,Yes,30,6,1,3,2
8549,46221,No,3,32,2,1,1
8556,48723,Yes,10,36,1,18,12
8558,1978,No,1,29,2,5,3
8567,17278,No,13,39,3,2,12
8570,29021,No,34,11,1,2,3
8575,50031,Yes,32,6,2,1,1
8584,2803,No,26,38,3,31,13
8588,15966,No,36,15,2,10,6
8594,39766,Yes,41,21,3,4,4
8595,45481,Yes,49,21,3,17,15
8606,42248,No,12,24,1,1,16
8611,39918,No,29,5,2,1,1
8623,34377,No,10,38,1,2,1
8627,50984,No,19,12,4,5,3
8629,36533,No,7,36,3,4,4
8637,9008,Yes,17,36,3,2,1
8646,36843,No,38,24,2,1,1
8648,21635,No,47,19,3,5,2
8657,17237,No,26,4,2,1,2
8659,6596,No,48,20,3,4,2
8663,38429,Yes,44,15,4,2,1
8665,38241,Yes,10,28,1,12,10
8668,26733,No,25,15,2,8,1
8675,24190,No,4,30,4,25,11
8679,50799,Yes,43,31,3,2,1
8684,38567,No,4,34,4,1,1
8697,35082,No,38,11,3,2,4
8701,46065,No,49,7,4,3,2
8707,15319,Yes,35,16,2,2,1
8710,4868,Yes,13,38,1,3,21
8718,34061,Yes,49,18,4,7,18
8722,20049,No,49,14,1,1,1
8726,36390,No,38,1,3,1,1
8729,15334,No,22,40,4,3,3
8736,33527,Yes,32,22,3,18,6
8739,12026,Yes,18,3,3,1,1
8748,13737,Yes,2,23,1,1,1
8751,25155,Yes,37,35,4,22,1
8752,26760,Yes,32,19,1,11,7
8755,45968,No,11,2,2,1,1
8756,6058,Yes,20,38,2,2,2
8761,8683,Yes,17,19,2,3,6
8762,12720,Yes,45,39,2,33,36
8764,43200,Yes,22,38,2,5,1
8767,11455,Yes,17,7,1,4,2
8772,47992,Yes,6,40,3,20,23
8776,28391,Yes,37,28,4,7,7
8778,44859,Yes,12,27,1,1,4
8779,47896,No,37,39,3,19,25
8784,32292,No,16,18,1,3,6
8787,23895,Yes,48,14,4,1,1
8789,49222,No,48,7,1,4,1
8790,39681,Yes,20,39,2,22,16
8792,4561,Yes,37,30,3,18,10
8794,30920,No,8,18,3,1,1
8802,34051,No,17,19,1,2,2
8803,40927,Yes,8,36,4,14,1
8805,7363,No,28,25,2,1,14
8808,29110,No,18,27,1,1,3
8809,8521,Yes,49,2,3,1,2
8812,9074,No,33,21,1,1,1
8815,5188,Yes,6,31,2,16,21
8816,9856,No,34,28,4,11,13
8817,17760,Yes,26,28,1,14,7
8818,47893,No,32,21,1,3,2
8829,46887,Yes,27,19,4,3,6
8831,21872,No,48,38,2,7,7
8841,45749,No,23,9,3,3,4
8852,6549,Yes,35,26,4,11,16
8853,15007,No,32,12,3,1,1
8855,2643,Yes,31,16,4,5,11
8862,30046,No,33,35,2,1,8
8865,37014,Yes,37,17,3,1,1
8866,9239,Yes,9,7,4,1,2
8879,8317,No,46,11,3,3,6
8883,42710,Yes,46,18,3,15,6
8885,18231,No,46,7,2,6,6
8889,6814,Yes,2,23,2,5,5
8890,18698,No,34,24,3,7,10
8891,31249,Yes,0,20,3,5,3
8895,39758,Yes,33,2,2,1,2
8898,14697,Yes,3,10,2,1,2
8906,14240,No,36,3,2,1,1
8916,29089,Yes,44,8,3,1,1
8918,46215,Yes,29,19,2,2,3
8925,49780,Yes,7,8,4,3,2
8927,25722,Yes,15,28,2,12,7
8930,29983,No,42,32,2,1,19
8948,34835,Yes,2,26,3,14,16
8952,40216,Yes,15,29,1,2,1
8953,6343,No,32,40,1,12,5
8954,39241,Yes,26,32,4,11,30
8955,35314,Yes,4,18,3,7,9
8962,28532,No,26,11,1,1,1
8965,33082,No,0,33,4,1,6
8966,49722,No,5,2,1,2,1
8974,25912,No,49,21,2,3,1
8975,19595,Yes,40,29,2,2,7
8977,5501,No,41,9,2,3,3
8978,14793,No,32,1,4,1,1
8985,22630,Yes,35,10,1,2,1
8988,9899,No,4,24,4,11,3
8989,40963,Yes,23,36,4,1,1
8995,49016,No,11,29,3,1,7
8996,11062,Yes,32,40,1,9,7
8998,12732,No,16,12,1,10,8
9001,30704,Yes,0,25,2,2,2
9002,27074,No,17,37,1,1,3
9008,50453,No,36,34,4,8,3
9009,10079,No,33,18,4,6,8
9011,41209,Yes,23,21,4,6,4
9020,1647,No,40,27,3,14,5
9024,11158,Yes,15,35,2,2,5
9025,37054,Yes,22,30,1,4,1
9027,44368,Yes,35,25,2,3,2
9033,15271,No,9,24,2,7,3
9046,19350,No,32,18,3,1,1
9052,41405,Yes,15,27,4,7,2
9062,34835,Yes,22,26,4,4,2
9070,50328,No,36,2,4,1,1
9076,26205,Yes,20,33,4,2,1
9078,12884,No,41,1,3,1,1
9085,5367,Yes,35,5,4,3,2
9086,13492,No,6,18,1,12,12
9090,24122,No,23,30,3,15,3
9093,32940,No,49,23,3,12,5
9097,49480,No,47,30,2,6,13
9098,20143,No,47,18,2,1,1
9099,3930,Yes,47,39,4,10,2
9100,27487,Yes,38,1,2,1,1
9102,6115,No,25,37,1,30,29
9106,29255,No,8,37,4,11,30
9110,18393,Yes,20,39,2,4,2
9118,9251,Yes,8,19,3,8,4
9123,13897,No,15,17,3,1,1
9130,45039,Yes,27,21,1,11,3
9136,3609,Yes,34,23,3,8,14
9140,6045,Yes,20,10,3,9,4
9144,16598,Yes,40,24,4,3,4
9149,38078,Yes,15,6,4,2,2
9151,36013,No,27,19,4,3,3
9155,22189,No,36,9,2,6,2
9156,17290,Yes,21,15,1,6,5
9160,1394,No,26,9,3,1,1
9162,5933,No,23,13,4,1,4
9164,47800,No,42,10,1,2,3
9174,9086,Yes,31,34,3,4,8
9191,13474,No,13,32,2,4,6
9192,11830,Yes,45,9,2,3,1
9197,21090,No,6,33,1,8,23
9198,44545,Yes,47,13,1,7,4
9199,32895,Yes,21,13,3,3,5
9205,46452,No,9,37,4,11,13
9211,27846,No,46,13,3,4,13
9214,12909,No,39,4,4,2,1
9216,28647,Yes,44,33,3,18,13
9219,19571,No,24,7,4,1,1
9221,20493,No,2,29,3,9,8
9226,29466,Yes,6,39,3,6,16
9231,45391,No,26,20,2,2,3
9233,19804,Yes,21,37,2,5,3
9235,20157,No,40,8,4,1,1
9237,41997,No,1,10,2,2,7
9238,28930,Yes,3,35,4,3,7
9240,37595,No,35,35,4,2,19
9247,22457,No,34,1,2,1,1
9249,19577,Yes,32,24,3,6,2
9252,47463,No,15,35,3,11,19
9255,16645,Yes,32,36,4,14,18
9256,21849,No,2,9,4,1,7
9259,12433,No,47,40,1,12,10
9260,41079,Yes,35,7,3,4,3
9261,2324,No,16,2,1,1,1
9262,22097,No,19,35,1,6,5
9268,21535,Yes,42,23,2,20,20
9271,26662,Yes,2,2,3,1,1
9275,32546,No,0,23,2,10,1
9277,17709,Yes,26,29,2,3,2
9278,38374,Yes,41,30,1,6,10
9279,3965,Yes,4,40,1,25,29
9281,36660,No,12,35,1,15,25
9283,39268,Yes,18,10,1,3,3
9288,43307,Yes,13,26,3,3,4
9290,28244,No,35,6,1,3,3
9292,42672,Yes,43,5,2,5,4
9303,10303,Yes,33,18,4,1,1
9304,45746,Yes,41,32,1,19,3
9309,24170,No,15,39,3,25,8
9310,33327,Yes,27,1,1,1,1
9315,50453,Yes,24,27,1,1,1
9318,8497,Yes,48,1,1,1,1
9327,26897,Yes,8,5,1,1,1
9333,25582,Yes,30,33,4,4,5
9334,11009,No,49,17,1,7,8
9337,22512,Yes,49,38,3,9,2
9341,39628,Yes,32,30,1,5,4
9342,47677,No,35,24,1,13,17
9350,10265,No,48,1,1,1,1
9357,38134,Yes,38,1,4,1,1
9362,42358,No,29,29,3,2,14
9363,45366,Yes,30,1,3,1,1
9366,6069,No,31,9,3,7,1
9368,27969,Yes,47,20,2,6,9
9369,5351,Yes,43,10,1,6,2
9375,47195,Yes,11,7,1,1,1
9376,21934,Yes,3,33,3,11,15
9380,21034,Yes,42,24,4,7,1
9385,5296,No,49,33,1,6,8
9387,43245,Yes,41,2,3,2,1
9393,1504,No,46,22,1,5,6
9395,47255,Yes,8,27,1,24,1
9397,33970,No,15,10,1,2,2
9398,49041,Yes,44,5,2,1,2
9415,27766,No,37,3,3,1,1
9419,22511,No,23,26,2,11,2
9422,6598,No,13,30,1,13,24
9433,21262,Yes,0,12,3,7,9
9436,44553,No,21,34,2,1,3
9437,36858,Yes,4,10,1,1,1
9445,32384,No,9,3,4,1,1
9448,2588,Yes,30,37,3,23,11
9451,14779,Yes,9,7,4,6,2
9452,21572,No,31,38,3,20,32
9453,43194,Yes,18,3,3,2,1
9456,31980,No,37,6,4,2,2
9460,46797,Yes,39,39,3,11,23
9465,13708,Yes,22,10,1,1,3
9467,2408,Yes,32,13,1,3,1
9473,26330,No,4,1,1,1,1
9478,38649,No,27,31,1,11,13
9481,45605,No,41,21,2,2,5
9482,1041,No,13,18,1,1,1
9488,48815,Yes,36,16,1,2,1
9489,47388,Yes,27,15,3,2,2
9490,41000,No,24,27,1,3,1
9493,19301,No,35,35,2,4,3
9510,18261,Yes,33,19,1,2,1
9517,30873,No,1,2,3,1,1
9520,28308,Yes,11,29,4,2,6
9534,3614,Yes,35,35,1,6,8
9541,35542,Yes,48,5,3,1,1
9544,3499,No,23,18,4,6,8
9547,41458,No,7,30,1,5,13
9552,31398,No,47,14,2,6,6
9554,7093,No,30,1,2,1,1
9557,29374,Yes,6,14,1,1,1
9559,41983,No,46,13,2,1,2
9560,44073,Yes,40,25,3,1,8
9566,9993,Yes,47,18,3,1,1
9571,40763,Yes,36,40,2,20,9
9573,45474,No,30,8,4,8,4
9575,33625,No,16,34,2,1,2
9584,19022,No,30,19,2,1,14
9586,26364,Yes,17,22,3,3,1
9587,49961,No,24,4,4,2,2
9593,39475,No,45,34,3,2,1
9596,36301,Yes,24,23,4,2,1
9598,23269,Yes,17,2,1,2,2
9601,48594,Yes,44,37,3,24,16
9602,28747,Yes,17,16,4,1,10
9606,46134,Yes,13,8,3,1,1
9610,13294,No,11,16,2,9,9
9611,47684,No,35,8,2,2,2
9613,32600,No,11,32,1,3,16
9620,17362,Yes,14,27,4,12,20
9627,50823,Yes,39,18,4,9,5
9628,35556,Yes,18,31,1,1,2
9634,39906,Yes,22,21,2,4,10
9635,16001,No,29,12,3,3,5
9636,28919,Yes,15,25,4,1,4
9642,26666,Yes,7,14,2,5,3
9646,26134,No,35,3,4,1,1
9648,41620,No,31,6,1,1,1
9654,30175,Yes,25,32,2,10,9
9655,29406,Yes,45,37,4,12,20
9659,18414,No,1,37,1,16,14
9662,14261,Yes,27,8,4,5,2
9664,9380,No,32,40,2,20,25
9665,10971,Yes,39,10,3,1,1
9667,26051,No,43,30,3,15,13
9670,48290,Yes,2,8,1,1,2
9677,35245,No,6,23,2,8,4
9679,32843,Yes,17,30,2,5,6
9681,37730,Yes,24,25,1,4,8
9683,44203,Yes,32,31,4,2,14
9686,34048,Yes,21,4,3,1,1
9696,29004,Yes,32,11,1,3,1
9711,13198,Yes,19,15,2,11,6
9716,49262,Yes,23,33,4,13,10
9721,49813,Yes,18,30,4,16,5
9725,33110,Yes,37,30,4,13,11
9746,22463,Yes,32,24,4,4,5
9748,8780,No,36,9,4,1,1
9749,47385,No,32,40,1,9,7
9755,16376,No,47,10,4,1,2
9761,42811,No,8,8,4,1,1
9777,35311,No,42,4,4,3,1
9779,19122,Yes,24,31,3,2,10
9782,33144,No,45,23,4,1,8
9784,4651,Yes,33,16,3,6,4
9794,47791,No,16,5,2,2,2
9799,37614,No,5,7,1,2,1
9807,45155,Yes,38,11,1,3,5
9810,8282,Yes,35,19,4,7,5
9814,6792,No,43,32,2,7,8
9819,16218,Yes,9,39,1,21,20
9822,28064,No,20,8,2,2,3
9832,42144,Yes,11,20,4,2,1
9833,33994,No,0,5,1,1,1
9837,37188,No,15,14,4,2,6
9840,25723,Yes,7,6,2,2,4
9843,43054,Yes,12,26,1,3,1
9846,6479,Yes,0,28,1,2,2
9847,12101,No,28,4,1,1,1
9848,6479,Yes,27,24,2,1,2
9850,18098,No,46,33,4,2,2
9852,5880,No,45,6,3,1,1
9854,40266,Yes,3,34,1,8,3
9860,37411,No,20,38,4,10,19
9864,46928,No,22,35,2,3,1
9865,40363,Yes,25,37,4,3,3
9871,39080,Yes,32,40,3,3,1
9872,16337,Yes,32,29,3,5,7
9874,5284,No,45,24,1,19,22
9878,30640,No,40,8,1,6,6
9882,41498,No,30,27,2,13,15
9885,21082,Yes,39,10,4,1,1
9891,2600,Yes,41,27,2,12,5
9893,33741,Yes,7,9,2,1,4
9897,13735,No,27,1,4,1,1
9901,34535,No,30,38,2,10,12
9904,50860,Yes,14,39,3,15,27
9907,29926,Yes,48,18,3,1,1
9911,3566,No,49,3,4,1,2
9914,1678,No,43,31,3,26,8
9918,41610,No,2,12,3,4,3
9926,4668,No,28,17,4,6,13
9930,4447,No,31,21,4,19,17
9932,1997,No,35,4,3,1,1
9936,40229,Yes,39,7,3,4,1
9939,33683,Yes,27,7,4,1,2
9942,46138,Yes,10,39,1,2,6
9947,37532,No,34,33,3,9,3
9949,27060,Yes,4,14,1,1,4
9954,7592,No,16,8,1,2,2
9959,16472,No,47,31,1,3,2
9963,34119,No,19,32,3,6,7
9965,14744,Yes,8,25,3,3,5
9969,43109,Yes,3,38,3,6,2
9976,1101,No,34,26,3,10,10
9979,47628,No,38,31,2,4,2
9980,17916,No,37,7,1,1,2
9989,37412,Yes,38,22,2,4,8
9992,49680,Yes,37,28,4,24,1
9996,3217,No,42,4,1,1,3
9998,7379,No,35,3,4,2,1
10006,40787,Yes,41,34,2,2,4
10014,12541,Yes,32,20,2,1,3
10018,40299,No,18,24,2,3,2
10026,48140,Yes,11,30,4,1,12
10030,10834,Yes,35,1,1,1,1
10031,13997,No,17,4,2,1,4
10033,3618,No,47,8,2,1,2
10035,42488,No,14,32,1,3,6
10037,45539,No,7,20,4,2,11
10045,43344,No,19,10,2,6,2
10049,15164,No,37,33,2,11,4
10065,6450,Yes,48,14,1,4,2
10067,18560,Yes,0,25,3,5,5
10076,13082,No,8,23,2,5,2
10081,12435,No,12,15,3,1,4
10086,27922,Yes,49,5,2,1,2
10092,50672,Yes,24,34,1,5,10
10096,42580,No,7,21,4,10,6
10102,3823,No,45,23,4,13,9
10104,17013,No,15,9,1,6,6
10105,38247,No,39,16,3,2,1
10111,24044,Yes,8,14,2,1,2
10118,17092,Yes,29,2,4,1,1
10126,20394,No,19,6,2,5,3
10128,40713,No,41,32,2,4,13
10130,5106,No,40,26,4,16,1
10131,8532,Yes,37,12,4,11,4
10133,3477,No,8,27,2,2,3
10134,17535,Yes,38,38,3,22,11
10136,42286,No,10,9,2,3,5
10146,4883,Yes,4,20,3,11,17
10152,11574,Yes,15,31,1,4,2
10157,27537,No,35,20,3,2,1
10158,1437,No,3,7,2,2,2
10159,20987,Yes,7,9,4,3,2
10160,20256,Yes,20,21,3,7,3
10163,6808,No,22,33,4,4,3
10174,10365,No,30,30,3,25,14
10177,39869,Yes,24,3,1,1,1
10183,35158,No,26,27,2,2,6
10187,6307,Yes,1,39,4,6,13
10196,24129,No,14,9,1,1,1
10201,48814,Yes,47,13,3,2,2
10206,7809,Yes,18,33,3,14,11
10220,8484,Yes,24,26,3,12,4
10221,14190,Yes,35,36,3,2,7
10224,17317,Yes,3,9,3,2,3
10228,47161,Yes,22,34,2,6,5
10231,2638,No,32,6,2,1,4
10234,32615,Yes,36,8,1,4,2
10235,18284,Yes,9,8,3,6,1
10236,46480,No,35,27,2,12,2
10244,48018,Yes,31,33,1,3,3
10252,47259,No,44,28,1,4,7
10258,22107,No,22,28,2,8,19
10259,21045,Yes,49,9,4,9,7
10268,40315,No,40,27,3,8,7
10269,21742,No,25,5,1,2,2
10270,28074,Yes,49,3,3,2,3
10275,39432,No,19,24,3,21,6
10277,6898,No,16,8,3,2,3
10278,49600,Yes,0,38,4,25,32
10281,26803,Yes,43,5,3,2,2
10287,20359,Yes,30,33,3,1,11
10288,21263,No,43,13,2,1,8
10294,11035,No,23,10,3,3,2
10297,17889,Yes,44,27,1,4,6
10299,5016,No,8,24,3,1,1
10305,17895,Yes,30,40,1,20,5
10306,11400,Yes,37,27,1,11,1
10310,32495,No,22,22,2,16,8
10319,18231,Yes,0,1,3,1,1
10326,13785,Yes,29,8,3,1,1
10333,6137,Yes,42,8,3,2,4
10339,3880,Yes,39,35,4,15,13
10345,1418,No,5,10,2,1,1
10349,36082,No,19,37,1,2,1
10354,14991,Yes,24,12,2,10,1
10367,13072,Yes,16,20,3,7,8
10369,1902,No,27,29,4,13,17
10377,42357,No,30,15,4,11,12
10380,27777,Yes,33,34,4,6,8
10385,4772,No,27,15,1,1,1
10391,43110,No,40,34,1,6,26
10393,47035,Yes,7,21,2,1,3
10394,5450,Yes,29,4,4,4,1
10395,26758,No,30,9,2,1,1
10397,26519,Yes,23,17,1,2,2
10400,45418,No,43,32,4,15,5
10401,46561,No,41,19,4,11,10
10406,35845,Yes,15,10,1,4,2
10412,33947,Yes,12,19,4,11,12
10428,21833,Yes,14,3,2,1,1
10430,20527,Yes,13,22,2,4,2
10438,16641,Yes,17,13,4,2,5
10455,16045,No,9,12,1,12,12
10460,2168,No,26,19,2,10,4
10462,29396,No,26,36,1,24,28
10464,31968,No,25,13,4,3,2
10465,39627,No,22,30,3,4,7
10471,24460,No,38,28,1,6,5
10474,39510,Yes,3,18,4,4,3
10487,1993,No,27,17,3,3,3
10489,37814,No,12,36,1,4,2
10490,43008,No,37,16,2,1,9
10491,20972,Yes,23,31,4,5,9
10494,1412,Yes,4,15,3,2,7
10496,1654,No,30,24,1,2,2
10502,13377,Yes,17,5,4,2,1
10511,17339,Yes,38,33,4,7,7
10513,40537,No,10,34,4,16,9
10518,47389,No,45,39,1,5,3
10521,20312,Yes,28,15,4,1,1
10523,15357,No,5,9,2,1,1
10530,41994,No,24,32,4,19,11
10532,44309,Yes,32,39,2,5,1
10535,20795,No,2,32,2,11,11
10538,7110,Yes,6,25,2,4,4
10539,5902,No,2,12,4,1,1
10540,30919,No,34,34,3,1,5
10546,16859,Yes,32,11,2,5,2
10547,10315,Yes,1,32,3,14,12
10553,28408,Yes,18,32,1,9,14
10557,6007,No,38,27,1,5,4
10558,28635,No,49,27,3,4,4
10559,27035,No,8,28,4,3,18
10560,48532,No,48,10,2,1,7
10563,19235,No,30,38,3,13,18
10566,29889,No,20,33,4,4,8
10567,20397,No,1,22,3,9,1
10570,5065,No,4,20,4,1,1
10579,25644,Yes,18,1,3,1,1
10587,26723,Yes,0,2,2,1,1
10589,28582,Yes,32,12,4,1,1
10590,30717,No,13,17,4,1,5
10591,31993,Yes,28,30,3,4,6
10592,47599,Yes,33,3,1,2,2
10593,21998,No,30,37,3,4,9
10606,39130,Yes,35,33,4,14,11
10609,38680,Yes,24,1,3,1,1
10611,14521,No,41,6,1,1,1
10617,40144,Yes,37,2,1,2,1
10618,18420,No,0,4,2,2,3
10622,39696,Yes,35,7,3,2,2
10628,15851,Yes,27,40,4,25,36
10631,8407,Yes,42,9,1,5,5
10647,14048,Yes,33,5,2,1,1
10652,11139,No,28,10,4,2,9
10658,35484,No,1,31,4,10,3
10662,20641,Yes,43,19,4,2,6
10668,8556,No,40,39,1,4,8
10669,40884,No,10,25,4,1,1
10672,39517,Yes,49,29,3,22,15
10679,43234,No,3,35,2,1,2
10682,17429,No,47,29,2,23,19
10687,23698,No,11,28,1,1,2
10688,28567,No,23,6,4,1,1
10694,22237,Yes,30,2,1,1,1
10696,34422,No,8,14,3,10,8
10697,10425,No,33,12,3,1,1
10698,38118,Yes,36,37,3,2,1
10700,10100,Yes,44,21,1,6,13
10701,46704,No,22,31,1,12,6
10711,48115,Yes,4,16,4,4,9
10721,32689,No,32,12,3,4,3
10723,2919,Yes,6,24,1,8,11
10729,46224,No,42,2,2,2,1
10731,28364,Yes,44,11,3,1,1
10733,40428,No,4,22,2,1,11
10734,7565,Yes,8,4,2,1,1
10736,41656,Yes,43,31,4,1,3
10738,25613,Yes,48,27,1,8,5
10740,35685,No,11,28,1,7,2
10743,45880,No,29,4,2,1,1
10750,13332,No,29,33,2,12,1
10762,17511,Yes,44,18,1,3,11
10765,26742,Yes,35,1,2,1,1
10767,10322,Yes,17,39,3,7,27
10777,45577,Yes,47,19,4,4,1
10786,11201,Yes,39,21,3,6,18
10787,4818,Yes,9,9,3,3,2
10789,15509,No,7,33,1,19,14
10793,3212,Yes,26,7,1,1,1
10795,10689,No,36,16,4,5,1
10799,41677,Yes,0,37,4,22,5
10800,50680,No,45,9,3,4,1
10801,38226,No,16,1,1,1,1
